"P","Points:0","Points:1","Points:2","T","U","V","div"
0.0036415,0.0125,0.0125,0,6.1045,0.00017143,-0.00017143,9.8448e-09
0.003173,0.0125,0.0375,0,6.2154,0.00031162,-0.00065449,7.3236e-09
0.0027395,0.0125,0.0625,0,6.4512,0.00033554,-0.0013016,7.2242e-09
0.002337,0.0125,0.0875,0,6.7761,0.0003289,-0.0019661,7.0834e-09
0.0019626,0.0125,0.1125,0,7.1371,0.0003234,-0.0026184,6.9009e-09
0.0016158,0.0125,0.1375,0,7.4959,0.00032134,-0.0032631,6.677e-09
0.0012978,0.0125,0.1625,0,7.8367,0.00031775,-0.0039022,6.4124e-09
0.0010101,0.0125,0.1875,0,8.1574,0.00030896,-0.0045289,6.1081e-09
0.00075377,0.0125,0.2125,0,8.4603,0.00029405,-0.0051319,5.7661e-09
0.00052947,0.0125,0.2375,0,8.7481,0.00027412,-0.0057001,5.3884e-09
0.00033701,0.0125,0.2625,0,9.0229,0.00025136,-0.0062256,4.978e-09
0.00017556,0.0125,0.2875,0,9.2868,0.00022812,-0.0067051,4.5377e-09
4.3896e-05,0.0125,0.3125,0,9.5421,0.0002063,-0.0071395,4.071e-09
-5.9359e-05,0.0125,0.3375,0,9.7911,0.00018707,-0.0075329,3.581e-09
-0.00013547,0.0125,0.3625,0,10.036,0.00017082,-0.0078908,3.0714e-09
-0.00018547,0.0125,0.3875,0,10.28,0.00015736,-0.0082189,2.5454e-09
-0.00021006,0.0125,0.4125,0,10.524,0.00014609,-0.0085224,2.0062e-09
-0.00020965,0.0125,0.4375,0,10.77,0.00013622,-0.0088047,1.457e-09
-0.00018438,0.0125,0.4625,0,11.018,0.00012693,-0.0090679,9.0075e-10
-0.00013422,0.0125,0.4875,0,11.271,0.00011749,-0.0093123,3.402e-10
-5.9056e-05,0.0125,0.5125,0,11.528,0.00010725,-0.009537,-2.2205e-10
4.1258e-05,0.0125,0.5375,0,11.79,9.5703e-05,-0.00974,-7.8373e-10
0.0001668,0.0125,0.5625,0,12.057,8.2419e-05,-0.0099181,-1.3429e-09
0.00031752,0.0125,0.5875,0,12.329,6.7044e-05,-0.010068,-1.898e-09
0.0004932,0.0125,0.6125,0,12.607,4.9262e-05,-0.010184,-2.448e-09
0.0006934,0.0125,0.6375,0,12.889,2.8784e-05,-0.010262,-2.9924e-09
0.00091737,0.0125,0.6625,0,13.176,5.3266e-06,-0.010296,-3.5307e-09
0.0011641,0.0125,0.6875,0,13.469,-2.1396e-05,-0.01028,-4.0628e-09
0.001432,0.0125,0.7125,0,13.768,-5.1709e-05,-0.010207,-4.5879e-09
0.0017194,0.0125,0.7375,0,14.072,-8.6057e-05,-0.010069,-5.1045e-09
0.0020237,0.0125,0.7625,0,14.382,-0.00012517,-0.0098578,-5.6097e-09
0.0023421,0.0125,0.7875,0,14.699,-0.00017039,-0.0095623,-6.0987e-09
0.0026708,0.0125,0.8125,0,15.024,-0.00022418,-0.0091677,-6.565e-09
0.0030049,0.0125,0.8375,0,15.355,-0.00029089,-0.0086526,-7.0001e-09
0.0033374,0.0125,0.8625,0,15.688,-0.00037762,-0.0079841,-7.3941e-09
0.0036575,0.0125,0.8875,0,16.012,-0.00049432,-0.0071122,-7.7367e-09
0.0039472,0.0125,0.9125,0,16.3,-0.00065065,-0.0059672,-8.0179e-09
0.0041753,0.0125,0.9375,0,16.5,-0.00084149,-0.0044751,-8.229e-09
0.0042888,0.0125,0.9625,0,16.53,-0.0009974,-0.0026362,-8.3635e-09
0.0042108,0.0125,0.9875,0,16.336,-0.00081939,-0.00081939,-8.4177e-09
0.0036396,0.0375,0.0125,0,7.1255,0.00069645,-0.00035358,7.4149e-09
0.0031839,0.0375,0.0375,0,7.3441,0.0012524,-0.0013363,4.8978e-09
0.0027581,0.0375,0.0625,0,7.8278,0.001375,-0.0026694,4.8241e-09
0.0023582,0.0375,0.0875,0,8.4961,0.0013657,-0.0040812,4.7225e-09
0.0019835,0.0375,0.1125,0,9.23,0.0013405,-0.0054828,4.5931e-09
0.0016351,0.0375,0.1375,0,9.9487,0.0013133,-0.0068471,4.4361e-09
0.0013145,0.0375,0.1625,0,10.623,0.0012713,-0.0081535,4.2522e-09
0.0010236,0.0375,0.1875,0,11.253,0.0012063,-0.0093777,4.0424e-09
0.00076407,0.0375,0.2125,0,11.845,0.0011194,-0.010497,3.808e-09
0.00053684,0.0375,0.2375,0,12.405,0.0010182,-0.011498,3.5506e-09
0.000342,0.0375,0.2625,0,12.936,0.00091242,-0.012378,3.2721e-09
0.0001788,0.0375,0.2875,0,13.444,0.00081058,-0.013142,2.9744e-09
4.5909e-05,0.0375,0.3125,0,13.934,0.00071854,-0.013802,2.6599e-09
-5.819e-05,0.0375,0.3375,0,14.412,0.00063895,-0.014373,2.3306e-09
-0.00013496,0.0375,0.3625,0,14.882,0.00057172,-0.014868,1.9888e-09
-0.00018558,0.0375,0.3875,0,15.349,0.00051489,-0.015298,1.6367e-09
-0.00021089,0.0375,0.4125,0,15.816,0.00046545,-0.015672,1.2764e-09
-0.00021137,0.0375,0.4375,0,16.287,0.00042014,-0.015993,9.0985e-10
-0.0001872,0.0375,0.4625,0,16.763,0.00037587,-0.016262,5.3903e-10
-0.00013837,0.0375,0.4875,0,17.246,0.00033001,-0.01648,1.6571e-10
-6.473e-05,0.0375,0.5125,0,17.736,0.00028045,-0.016641,-2.0846e-10
3.3859e-05,0.0375,0.5375,0,18.233,0.00022558,-0.016741,-5.8205e-10
0.00015749,0.0375,0.5625,0,18.739,0.00016414,-0.016774,-9.5384e-10
0.00030614,0.0375,0.5875,0,19.251,9.5136e-05,-0.016734,-1.3229e-09
0.00047958,0.0375,0.6125,0,19.772,1.7725e-05,-0.016615,-1.6887e-09
0.00067739,0.0375,0.6375,0,20.299,-6.8842e-05,-0.016408,-2.0507e-09
0.00089883,0.0375,0.6625,0,20.832,-0.00016527,-0.016105,-2.4088e-09
0.0011428,0.0375,0.6875,0,21.372,-0.00027227,-0.0157,-2.7626e-09
0.001408,0.0375,0.7125,0,21.918,-0.00039064,-0.015183,-3.1116e-09
0.0016923,0.0375,0.7375,0,22.47,-0.00052149,-0.014546,-3.4543e-09
0.0019933,0.0375,0.7625,0,23.027,-0.00066666,-0.013781,-3.7885e-09
0.0023079,0.0375,0.7875,0,23.59,-0.00082942,-0.012876,-4.1108e-09
0.0026322,0.0375,0.8125,0,24.159,-0.0010155,-0.01182,-4.4165e-09
0.0029611,0.0375,0.8375,0,24.729,-0.0012346,-0.0106,-4.6999e-09
0.0032878,0.0375,0.8625,0,25.293,-0.0015011,-0.0092013,-4.9546e-09
0.0036025,0.0375,0.8875,0,25.83,-0.0018325,-0.0076116,-5.1738e-09
0.0038907,0.0375,0.9125,0,26.292,-0.0022374,-0.0058316,-5.3513e-09
0.0041299,0.0375,0.9375,0,26.584,-0.002674,-0.0039044,-5.4817e-09
0.0042867,0.0375,0.9625,0,26.554,-0.0029189,-0.0019894,-5.5612e-09
0.004327,0.0375,0.9875,0,26.107,-0.0021714,-0.00053266,-5.5877e-09
0.0035964,0.0625,0.0125,0,8.0278,0.0014582,-0.00040816,7.4706e-09
0.0031547,0.0625,0.0375,0,8.3358,0.0026307,-0.0015655,4.9337e-09
0.0027374,0.0625,0.0625,0,9.041,0.0029346,-0.0031703,4.8565e-09
0.0023405,0.0625,0.0875,0,10.022,0.0029369,-0.0048892,4.7512e-09
0.0019653,0.0625,0.1125,0,11.093,0.0028654,-0.0065838,4.6178e-09
0.0016142,0.0625,0.1375,0,12.13,0.0027595,-0.0081906,4.4569e-09
0.00129,0.0625,0.1625,0,13.094,0.0026077,-0.0096667,4.2693e-09
0.00099584,0.0625,0.1875,0,13.983,0.002407,-0.01098,4.056e-09
0.00073415,0.0625,0.2125,0,14.81,0.0021701,-0.012112,3.8185e-09
0.00050633,0.0625,0.2375,0,15.583,0.0019179,-0.013061,3.5585e-09
0.00031241,0.0625,0.2625,0,16.31,0.0016712,-0.01384,3.2778e-09
0.00015121,0.0625,0.2875,0,17.001,0.0014451,-0.014469,2.9784e-09
2.0869e-05,0.0625,0.3125,0,17.664,0.0012476,-0.014972,2.6626e-09
-8.0665e-05,0.0625,0.3375,0,18.309,0.0010801,-0.015372,2.3325e-09
-0.00015525,0.0625,0.3625,0,18.943,0.00093902,-0.015685,1.9902e-09
-0.00020432,0.0625,0.3875,0,19.571,0.0008182,-0.015925,1.6379e-09
-0.0002288,0.0625,0.4125,0,20.2,0.00071039,-0.0161,1.2776e-09
